access,area,bridge,distance,from,hgv,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel
,,,100.518125,4059165606,,service,,,,,,,parking_aisle,80235530,
,,,20.488438,4059165606,,service,,,,,,,parking_aisle,4059165608,
,,,20.488438,4059165608,,service,,,,,,,parking_aisle,4059165606,
,,,25.275961,4059165608,,service,,,,,,,parking_aisle,80235533,
,,,25.275961,80235533,,service,,,,,,,parking_aisle,4059165608,
,,,98.760433,80235533,,service,,,,,,,parking_aisle,80235535,
,,,98.760433,80235535,,service,,,,,,,parking_aisle,80235533,
private,,,64.152547,80235759,,service,,,,,,,,80235761,
private,,,64.152547,80235761,,service,,,,,,,,80235759,
,,,187.713304,80235134,,unclassified,,,,,no,,,80236558,
,,,187.713304,80236558,,unclassified,,,,,no,,,80235134,
,,,74.632992,80236558,,unclassified,,,,,no,,,80236560,
,,,74.632992,80236560,,unclassified,,,,,no,,,80236558,
,,,115.1515,80232723,,residential,,,,West Courtyard Lane,no,,,80236959,
,,,115.1515,80236959,,residential,,,,West Courtyard Lane,no,,,80232723,
,,,92.529132,80236959,,residential,,,,West Courtyard Lane,no,,,80236963,
,,,92.529132,80236963,,residential,,,,West Courtyard Lane,no,,,80236959,
,,,121.120211,80236963,,residential,,,,West Courtyard Lane,no,,,80235207,
,,,121.120211,80235207,,residential,,,,West Courtyard Lane,no,,,80236963,
,,,49.67438,80235207,,residential,,,,West Courtyard Lane,no,,,80236973,
,,,49.67438,80236973,,residential,,,,West Courtyard Lane,no,,,80235207,
,,,96.930552,80236973,,residential,,,,West Courtyard Lane,no,,,80236978,
,,,96.930552,80236978,,residential,,,,West Courtyard Lane,no,,,80236973,
,,,95.588921,80236978,,residential,,,,West Courtyard Lane,no,,,1351702179,
,,,95.588921,1351702179,,residential,,,,West Courtyard Lane,no,,,80236978,
,,,162.424947,80237041,,residential,,,,West Victory Lane,,,,80237051,
,,,162.424947,80237051,,residential,,,,West Victory Lane,,,,80237041,
,,,107.24254,80237051,,residential,,,,West Victory Lane,,,,80233222,
,,,107.24254,80233222,,residential,,,,West Victory Lane,,,,80237051,
,,,51.180069,80230899,,service,,,,,,,,4421100634,
,,,51.180069,4421100634,,service,,,,,,,,80230899,
,,,37.562893,4421100634,,service,,,,,,,,80237105,
,,,37.562893,80237105,,service,,,,,,,,4421100634,
,,,165.231877,1351495795,,residential,,,,West Landscape Place,no,,,2030988851,
